Year,LocationName,DataSource,Category,Measure,Data_Value_Type,Data_Value,Low_Confidence_Limit,High_Confidence_Limit,TotalPopulation,Geolocation,LocationID,CategoryID,MeasureId,DataValueTypeID,Short_Question_Text
2019,02144,BRFSS,Health Outcomes,Chronic obstructive pulmonary disease among adults aged >=18 years,Crude prevalence,3.3,3.0,3.7,23891,POINT (-71.119268 42.39693116),02144,HLTHOUT,COPD,CrdPrv,COPD
2019,02144,BRFSS,Health Outcomes,Arthritis among adults aged >=18 years,Crude prevalence,15.2,14.9,15.6,23891,POINT (-71.119268 42.39693116),02144,HLTHOUT,ARTHRITIS,CrdPrv,Arthritis
2019,02144,BRFSS,Health Outcomes,Coronary heart disease among adults aged >=18 years,Crude prevalence,3.2,3.0,3.4,23891,POINT (-71.119268 42.39693116),02144,HLTHOUT,CHD,CrdPrv,Coronary Heart Disease
2019,02144,BRFSS,Health Status,Physical health not good for >=14 days among adults aged >=18 years,Crude prevalence,7.3,6.8,7.8,23891,POINT (-71.119268 42.39693116),02144,HLTHSTAT,PHLTH,CrdPrv,Physical Health
2019,02144,BRFSS,Prevention,Taking medicine for high blood pressure control among adults aged >=18 years with high blood pressure,Crude prevalence,64.4,63.6,65.1,23891,POINT (-71.119268 42.39693116),02144,PREVENT,BPMED,CrdPrv,Taking BP Medication
2019,02144,BRFSS,Health Outcomes,Chronic kidney disease among adults aged >=18 years,Crude prevalence,1.7,1.6,1.7,23891,POINT (-71.119268 42.39693116),02144,HLTHOUT,KIDNEY,CrdPrv,Chronic Kidney Disease
2019,02144,BRFSS,Prevention,Visits to doctor for routine checkup within the past year among adults aged >=18 years,Crude prevalence,76.4,75.9,76.8,23891,POINT (-71.119268 42.39693116),02144,PREVENT,CHECKUP,CrdPrv,Annual Checkup
2019,02144,BRFSS,Health Outcomes,Depression among adults aged >=18 years,Crude prevalence,20.7,20.1,21.3,23891,POINT (-71.119268 42.39693116),02144,HLTHOUT,DEPRESSION,CrdPrv,Depression
2018,02144,BRFSS,Prevention,"Fecal occult blood test, sigmoidoscopy, or colonoscopy among adults aged 50-75 years",Crude prevalence,73.0,71.5,74.2,23891,POINT (-71.119268 42.39693116),02144,PREVENT,COLON_SCREEN,CrdPrv,Colorectal Cancer Screening
2019,02144,BRFSS,Health Outcomes,Stroke among adults aged >=18 years,Crude prevalence,1.6,1.5,1.8,23891,POINT (-71.119268 42.39693116),02144,HLTHOUT,STROKE,CrdPrv,Stroke
2019,02144,BRFSS,Health Outcomes,Cancer (excluding skin cancer) among adults aged >=18 years,Crude prevalence,4.9,4.8,5.0,23891,POINT (-71.119268 42.39693116),02144,HLTHOUT,CANCER,CrdPrv,Cancer (except skin)
2019,02144,BRFSS,Health Risk Behaviors,Current smoking among adults aged >=18 years,Crude prevalence,11.0,9.8,12.3,23891,POINT (-71.119268 42.39693116),02144,RISKBEH,CSMOKING,CrdPrv,Current Smoking
2019,02144,BRFSS,Prevention,Cholesterol screening among adults aged >=18 years,Crude prevalence,88.2,87.2,89.0,23891,POINT (-71.119268 42.39693116),02144,PREVENT,CHOLSCREEN,CrdPrv,Cholesterol Screening
2019,02144,BRFSS,Health Risk Behaviors,No leisure-time physical activity among adults aged >=18 years,Crude prevalence,18.8,17.6,20.1,23891,POINT (-71.119268 42.39693116),02144,RISKBEH,LPA,CrdPrv,Physical Inactivity
2019,02143,BRFSS,Health Outcomes,High cholesterol among adults aged >=18 years who have been screened in the past 5 years,Crude prevalence,21.7,21.5,22.0,24514,POINT (-71.09671525 42.38140926),02143,HLTHOUT,HIGHCHOL,CrdPrv,High Cholesterol
2019,02143,BRFSS,Health Outcomes,Obesity among adults aged >=18 years,Crude prevalence,21.2,20.7,21.7,24514,POINT (-71.09671525 42.38140926),02143,HLTHOUT,OBESITY,CrdPrv,Obesity
2019,02143,BRFSS,Health Outcomes,Coronary heart disease among adults aged >=18 years,Crude prevalence,3.3,3.1,3.5,24514,POINT (-71.09671525 42.38140926),02143,HLTHOUT,CHD,CrdPrv,Coronary Heart Disease
2019,02143,BRFSS,Health Outcomes,Chronic kidney disease among adults aged >=18 years,Crude prevalence,1.7,1.7,1.8,24514,POINT (-71.09671525 42.38140926),02143,HLTHOUT,KIDNEY,CrdPrv,Chronic Kidney Disease
2019,02143,BRFSS,Health Outcomes,Chronic obstructive pulmonary disease among adults aged >=18 years,Crude prevalence,3.3,3.1,3.6,24514,POINT (-71.09671525 42.38140926),02143,HLTHOUT,COPD,CrdPrv,COPD
2019,02143,BRFSS,Health Outcomes,Depression among adults aged >=18 years,Crude prevalence,19.7,19.1,20.3,24514,POINT (-71.09671525 42.38140926),02143,HLTHOUT,DEPRESSION,CrdPrv,Depression
2019,02143,BRFSS,Prevention,Taking medicine for high blood pressure control among adults aged >=18 years with high blood pressure,Crude prevalence,64.4,63.8,65.0,24514,POINT (-71.09671525 42.38140926),02143,PREVENT,BPMED,CrdPrv,Taking BP Medication
2018,02143,BRFSS,Health Outcomes,All teeth lost among adults aged >=65 years,Crude prevalence,10.3,7.9,13.4,24514,POINT (-71.09671525 42.38140926),02143,HLTHOUT,TEETHLOST,CrdPrv,All Teeth Lost
2018,02143,BRFSS,Prevention,"Older adult women aged >=65 years who are up to date on a core set of clinical preventive services: Flu shot past year, PPV shot ever, Colorectal cancer screening, and Mammogram past 2 years",Crude prevalence,29.0,26.9,31.2,24514,POINT (-71.09671525 42.38140926),02143,PREVENT,COREW,CrdPrv,Core preventive services for older women
2019,02143,BRFSS,Health Outcomes,Stroke among adults aged >=18 years,Crude prevalence,1.7,1.6,1.8,24514,POINT (-71.09671525 42.38140926),02143,HLTHOUT,STROKE,CrdPrv,Stroke
2019,02143,BRFSS,Health Outcomes,Cancer (excluding skin cancer) among adults aged >=18 years,Crude prevalence,4.9,4.8,5.0,24514,POINT (-71.09671525 42.38140926),02143,HLTHOUT,CANCER,CrdPrv,Cancer (except skin)
2019,02143,BRFSS,Health Risk Behaviors,No leisure-time physical activity among adults aged >=18 years,Crude prevalence,19.7,18.5,20.9,24514,POINT (-71.09671525 42.38140926),02143,RISKBEH,LPA,CrdPrv,Physical Inactivity
2018,02143,BRFSS,Prevention,"Fecal occult blood test, sigmoidoscopy, or colonoscopy among adults aged 50-75 years",Crude prevalence,71.3,69.8,72.6,24514,POINT (-71.09671525 42.38140926),02143,PREVENT,COLON_SCREEN,CrdPrv,Colorectal Cancer Screening
2019,02143,BRFSS,Health Outcomes,Arthritis among adults aged >=18 years,Crude prevalence,15.5,15.2,15.8,24514,POINT (-71.09671525 42.38140926),02143,HLTHOUT,ARTHRITIS,CrdPrv,Arthritis
2019,02143,BRFSS,Prevention,Current lack of health insurance among adults aged 18-64 years,Crude prevalence,7.3,6.5,8.1,24514,POINT (-71.09671525 42.38140926),02143,PREVENT,ACCESS2,CrdPrv,Health Insurance
2019,02143,BRFSS,Health Outcomes,Diagnosed diabetes among adults aged >=18 years,Crude prevalence,5.0,4.8,5.1,24514,POINT (-71.09671525 42.38140926),02143,HLTHOUT,DIABETES,CrdPrv,Diabetes
2018,02143,BRFSS,Health Risk Behaviors,Sleeping less than 7 hours among adults aged >=18 years,Crude prevalence,32.4,31.6,33.1,24514,POINT (-71.09671525 42.38140926),02143,RISKBEH,SLEEP,CrdPrv,Sleep <7 hours
2018,02143,BRFSS,Prevention,Mammography use among women aged 50-74 years,Crude prevalence,82.1,80.8,83.2,24514,POINT (-71.09671525 42.38140926),02143,PREVENT,MAMMOUSE,CrdPrv,Mammography
2019,02143,BRFSS,Prevention,Cholesterol screening among adults aged >=18 years,Crude prevalence,88.6,87.6,89.4,24514,POINT (-71.09671525 42.38140926),02143,PREVENT,CHOLSCREEN,CrdPrv,Cholesterol Screening
2019,02143,BRFSS,Health Outcomes,Current asthma among adults aged >=18 years,Crude prevalence,9.3,9.1,9.6,24514,POINT (-71.09671525 42.38140926),02143,HLTHOUT,CASTHMA,CrdPrv,Current Asthma
2019,02143,BRFSS,Health Risk Behaviors,Binge drinking among adults aged >=18 years,Crude prevalence,23.9,23.5,24.2,24514,POINT (-71.09671525 42.38140926),02143,RISKBEH,BINGE,CrdPrv,Binge Drinking
2018,02143,BRFSS,Prevention,Visits to dentist or dental clinic among adults aged >=18 years,Crude prevalence,75.1,73.2,76.8,24514,POINT (-71.09671525 42.38140926),02143,PREVENT,DENTAL,CrdPrv,Dental Visit
2019,02143,BRFSS,Health Status,Fair or poor self-rated health status among adults aged >=18 years,Crude prevalence,10.0,9.3,10.9,24514,POINT (-71.09671525 42.38140926),02143,HLTHSTAT,GHLTH,CrdPrv,General Health
2019,02143,BRFSS,Prevention,Visits to doctor for routine checkup within the past year among adults aged >=18 years,Crude prevalence,76.4,75.9,76.8,24514,POINT (-71.09671525 42.38140926),02143,PREVENT,CHECKUP,CrdPrv,Annual Checkup
2018,02143,BRFSS,Prevention,Cervical cancer screening among adult women aged 21-65 years,Crude prevalence,87.6,86.5,88.5,24514,POINT (-71.09671525 42.38140926),02143,PREVENT,CERVICAL,CrdPrv,Cervical Cancer Screening
2019,02143,BRFSS,Health Status,Mental health not good for >=14 days among adults aged >=18 years,Crude prevalence,12.9,12.2,13.7,24514,POINT (-71.09671525 42.38140926),02143,HLTHSTAT,MHLTH,CrdPrv,Mental Health
2019,02143,BRFSS,Health Status,Physical health not good for >=14 days among adults aged >=18 years,Crude prevalence,7.5,7.1,7.9,24514,POINT (-71.09671525 42.38140926),02143,HLTHSTAT,PHLTH,CrdPrv,Physical Health
2019,02143,BRFSS,Health Risk Behaviors,Current smoking among adults aged >=18 years,Crude prevalence,11.4,10.1,12.7,24514,POINT (-71.09671525 42.38140926),02143,RISKBEH,CSMOKING,CrdPrv,Current Smoking
2018,02143,BRFSS,Prevention,"Older adult men aged >=65 years who are up to date on a core set of clinical preventive services: Flu shot past year, PPV shot ever, Colorectal cancer screening",Crude prevalence,32.3,30.0,34.8,24514,POINT (-71.09671525 42.38140926),02143,PREVENT,COREM,CrdPrv,Core preventive services for older men
2019,02143,BRFSS,Health Outcomes,High blood pressure among adults aged >=18 years,Crude prevalence,19.4,19.1,19.8,24514,POINT (-71.09671525 42.38140926),02143,HLTHOUT,BPHIGH,CrdPrv,High Blood Pressure
2019,02142,BRFSS,Health Outcomes,Coronary heart disease among adults aged >=18 years,Crude prevalence,2.3,2.2,2.5,3141,POINT (-71.08202998 42.36186605),02142,HLTHOUT,CHD,CrdPrv,Coronary Heart Disease
2019,02142,BRFSS,Health Outcomes,Current asthma among adults aged >=18 years,Crude prevalence,8.4,8.1,8.7,3141,POINT (-71.08202998 42.36186605),02142,HLTHOUT,CASTHMA,CrdPrv,Current Asthma
2019,02142,BRFSS,Health Outcomes,Arthritis among adults aged >=18 years,Crude prevalence,11.3,11.0,11.7,3141,POINT (-71.08202998 42.36186605),02142,HLTHOUT,ARTHRITIS,CrdPrv,Arthritis
2018,02142,BRFSS,Prevention,"Fecal occult blood test, sigmoidoscopy, or colonoscopy among adults aged 50-75 years",Crude prevalence,73.3,71.6,74.6,3141,POINT (-71.08202998 42.36186605),02142,PREVENT,COLON_SCREEN,CrdPrv,Colorectal Cancer Screening
2019,02142,BRFSS,Health Status,Fair or poor self-rated health status among adults aged >=18 years,Crude prevalence,8.7,7.9,9.8,3141,POINT (-71.08202998 42.36186605),02142,HLTHSTAT,GHLTH,CrdPrv,General Health
2019,02142,BRFSS,Health Risk Behaviors,Current smoking among adults aged >=18 years,Crude prevalence,10.8,9.3,12.7,3141,POINT (-71.08202998 42.36186605),02142,RISKBEH,CSMOKING,CrdPrv,Current Smoking
2018,02142,BRFSS,Health Risk Behaviors,Sleeping less than 7 hours among adults aged >=18 years,Crude prevalence,34.5,33.4,35.6,3141,POINT (-71.08202998 42.36186605),02142,RISKBEH,SLEEP,CrdPrv,Sleep <7 hours
2019,02142,BRFSS,Health Outcomes,Chronic obstructive pulmonary disease among adults aged >=18 years,Crude prevalence,2.4,2.2,2.6,3141,POINT (-71.08202998 42.36186605),02142,HLTHOUT,COPD,CrdPrv,COPD
2019,02142,BRFSS,Health Outcomes,Cancer (excluding skin cancer) among adults aged >=18 years,Crude prevalence,3.6,3.5,3.7,3141,POINT (-71.08202998 42.36186605),02142,HLTHOUT,CANCER,CrdPrv,Cancer (except skin)
2018,02142,BRFSS,Prevention,Cervical cancer screening among adult women aged 21-65 years,Crude prevalence,84.3,82.6,85.5,3141,POINT (-71.08202998 42.36186605),02142,PREVENT,CERVICAL,CrdPrv,Cervical Cancer Screening
2019,02142,BRFSS,Health Status,Physical health not good for >=14 days among adults aged >=18 years,Crude prevalence,6.2,5.8,6.7,3141,POINT (-71.08202998 42.36186605),02142,HLTHSTAT,PHLTH,CrdPrv,Physical Health
2019,02142,BRFSS,Prevention,Current lack of health insurance among adults aged 18-64 years,Crude prevalence,8.4,7.3,9.7,3141,POINT (-71.08202998 42.36186605),02142,PREVENT,ACCESS2,CrdPrv,Health Insurance
2019,02142,BRFSS,Health Outcomes,High cholesterol among adults aged >=18 years who have been screened in the past 5 years,Crude prevalence,18.3,18.0,18.6,3141,POINT (-71.08202998 42.36186605),02142,HLTHOUT,HIGHCHOL,CrdPrv,High Cholesterol
2018,02142,BRFSS,Prevention,Visits to dentist or dental clinic among adults aged >=18 years,Crude prevalence,72.2,69.7,74.4,3141,POINT (-71.08202998 42.36186605),02142,PREVENT,DENTAL,CrdPrv,Dental Visit
2019,02142,BRFSS,Prevention,Taking medicine for high blood pressure control among adults aged >=18 years with high blood pressure,Crude prevalence,56.5,55.6,57.4,3141,POINT (-71.08202998 42.36186605),02142,PREVENT,BPMED,CrdPrv,Taking BP Medication
2019,02142,BRFSS,Health Outcomes,Chronic kidney disease among adults aged >=18 years,Crude prevalence,1.3,1.3,1.4,3141,POINT (-71.08202998 42.36186605),02142,HLTHOUT,KIDNEY,CrdPrv,Chronic Kidney Disease
2019,02142,BRFSS,Health Outcomes,Obesity among adults aged >=18 years,Crude prevalence,18.8,18.2,19.5,3141,POINT (-71.08202998 42.36186605),02142,HLTHOUT,OBESITY,CrdPrv,Obesity
2018,02142,BRFSS,Prevention,"Older adult women aged >=65 years who are up to date on a core set of clinical preventive services: Flu shot past year, PPV shot ever, Colorectal cancer screening, and Mammogram past 2 years",Crude prevalence,31.4,27.6,34.5,3141,POINT (-71.08202998 42.36186605),02142,PREVENT,COREW,CrdPrv,Core preventive services for older women
2019,02142,BRFSS,Prevention,Visits to doctor for routine checkup within the past year among adults aged >=18 years,Crude prevalence,74.9,74.2,75.5,3141,POINT (-71.08202998 42.36186605),02142,PREVENT,CHECKUP,CrdPrv,Annual Checkup
2018,02142,BRFSS,Health Outcomes,All teeth lost among adults aged >=65 years,Crude prevalence,8.1,5.9,11.2,3141,POINT (-71.08202998 42.36186605),02142,HLTHOUT,TEETHLOST,CrdPrv,All Teeth Lost
2019,02142,BRFSS,Health Outcomes,High blood pressure among adults aged >=18 years,Crude prevalence,16.1,15.7,16.6,3141,POINT (-71.08202998 42.36186605),02142,HLTHOUT,BPHIGH,CrdPrv,High Blood Pressure
2019,02142,BRFSS,Health Outcomes,Depression among adults aged >=18 years,Crude prevalence,17.3,16.7,18.0,3141,POINT (-71.08202998 42.36186605),02142,HLTHOUT,DEPRESSION,CrdPrv,Depression
2019,02142,BRFSS,Health Risk Behaviors,No leisure-time physical activity among adults aged >=18 years,Crude prevalence,19.7,18.2,21.4,3141,POINT (-71.08202998 42.36186605),02142,RISKBEH,LPA,CrdPrv,Physical Inactivity
2019,02142,BRFSS,Health Status,Mental health not good for >=14 days among adults aged >=18 years,Crude prevalence,12.7,11.9,13.8,3141,POINT (-71.08202998 42.36186605),02142,HLTHSTAT,MHLTH,CrdPrv,Mental Health
2019,02142,BRFSS,Health Risk Behaviors,Binge drinking among adults aged >=18 years,Crude prevalence,23.9,23.3,24.4,3141,POINT (-71.08202998 42.36186605),02142,RISKBEH,BINGE,CrdPrv,Binge Drinking
2019,02142,BRFSS,Prevention,Cholesterol screening among adults aged >=18 years,Crude prevalence,86.1,84.8,87.2,3141,POINT (-71.08202998 42.36186605),02142,PREVENT,CHOLSCREEN,CrdPrv,Cholesterol Screening
2018,02142,BRFSS,Prevention,"Older adult men aged >=65 years who are up to date on a core set of clinical preventive services: Flu shot past year, PPV shot ever, Colorectal cancer screening",Crude prevalence,34.5,30.7,37.8,3141,POINT (-71.08202998 42.36186605),02142,PREVENT,COREM,CrdPrv,Core preventive services for older men
2019,02142,BRFSS,Health Outcomes,Diagnosed diabetes among adults aged >=18 years,Crude prevalence,3.9,3.7,4.0,3141,POINT (-71.08202998 42.36186605),02142,HLTHOUT,DIABETES,CrdPrv,Diabetes
2019,02142,BRFSS,Health Outcomes,Stroke among adults aged >=18 years,Crude prevalence,1.2,1.1,1.3,3141,POINT (-71.08202998 42.36186605),02142,HLTHOUT,STROKE,CrdPrv,Stroke
2018,02142,BRFSS,Prevention,Mammography use among women aged 50-74 years,Crude prevalence,82.5,80.7,84.0,3141,POINT (-71.08202998 42.36186605),02142,PREVENT,MAMMOUSE,CrdPrv,Mammography
2019,02141,BRFSS,Prevention,Visits to doctor for routine checkup within the past year among adults aged >=18 years,Crude prevalence,77.3,76.9,77.6,11910,POINT (-71.08270126 42.37000637),02141,PREVENT,CHECKUP,CrdPrv,Annual Checkup
2019,02141,BRFSS,Health Outcomes,Diagnosed diabetes among adults aged >=18 years,Crude prevalence,5.7,5.5,5.8,11910,POINT (-71.08270126 42.37000637),02141,HLTHOUT,DIABETES,CrdPrv,Diabetes
2018,02141,BRFSS,Prevention,"Older adult men aged >=65 years who are up to date on a core set of clinical preventive services: Flu shot past year, PPV shot ever, Colorectal cancer screening",Crude prevalence,31.4,29.2,33.7,11910,POINT (-71.08270126 42.37000637),02141,PREVENT,COREM,CrdPrv,Core preventive services for older men
2019,02141,BRFSS,Health Status,Physical health not good for >=14 days among adults aged >=18 years,Crude prevalence,7.7,7.4,8.1,11910,POINT (-71.08270126 42.37000637),02141,HLTHSTAT,PHLTH,CrdPrv,Physical Health
2019,02141,BRFSS,Health Outcomes,Arthritis among adults aged >=18 years,Crude prevalence,16.3,16.1,16.6,11910,POINT (-71.08270126 42.37000637),02141,HLTHOUT,ARTHRITIS,CrdPrv,Arthritis
2019,02141,BRFSS,Health Outcomes,Current asthma among adults aged >=18 years,Crude prevalence,9.2,9.0,9.4,11910,POINT (-71.08270126 42.37000637),02141,HLTHOUT,CASTHMA,CrdPrv,Current Asthma
2019,02141,BRFSS,Health Outcomes,Chronic obstructive pulmonary disease among adults aged >=18 years,Crude prevalence,3.5,3.2,3.7,11910,POINT (-71.08270126 42.37000637),02141,HLTHOUT,COPD,CrdPrv,COPD
2019,02141,BRFSS,Health Risk Behaviors,No leisure-time physical activity among adults aged >=18 years,Crude prevalence,20.5,19.6,21.4,11910,POINT (-71.08270126 42.37000637),02141,RISKBEH,LPA,CrdPrv,Physical Inactivity
2018,02141,BRFSS,Prevention,Cervical cancer screening among adult women aged 21-65 years,Crude prevalence,87.0,86.1,87.8,11910,POINT (-71.08270126 42.37000637),02141,PREVENT,CERVICAL,CrdPrv,Cervical Cancer Screening
2019,02141,BRFSS,Prevention,Taking medicine for high blood pressure control among adults aged >=18 years with high blood pressure,Crude prevalence,66.4,65.8,66.9,11910,POINT (-71.08270126 42.37000637),02141,PREVENT,BPMED,CrdPrv,Taking BP Medication
2018,02141,BRFSS,Health Risk Behaviors,Sleeping less than 7 hours among adults aged >=18 years,Crude prevalence,32.9,32.3,33.5,11910,POINT (-71.08270126 42.37000637),02141,RISKBEH,SLEEP,CrdPrv,Sleep <7 hours
2019,02141,BRFSS,Health Outcomes,Depression among adults aged >=18 years,Crude prevalence,18.7,18.2,19.1,11910,POINT (-71.08270126 42.37000637),02141,HLTHOUT,DEPRESSION,CrdPrv,Depression
2018,02141,BRFSS,Prevention,Mammography use among women aged 50-74 years,Crude prevalence,82.5,81.3,83.5,11910,POINT (-71.08270126 42.37000637),02141,PREVENT,MAMMOUSE,CrdPrv,Mammography
2019,02141,BRFSS,Prevention,Current lack of health insurance among adults aged 18-64 years,Crude prevalence,7.4,6.7,8.1,11910,POINT (-71.08270126 42.37000637),02141,PREVENT,ACCESS2,CrdPrv,Health Insurance
2019,02141,BRFSS,Health Outcomes,Coronary heart disease among adults aged >=18 years,Crude prevalence,3.6,3.4,3.7,11910,POINT (-71.08270126 42.37000637),02141,HLTHOUT,CHD,CrdPrv,Coronary Heart Disease
2019,02141,BRFSS,Health Outcomes,High blood pressure among adults aged >=18 years,Crude prevalence,20.9,20.6,21.3,11910,POINT (-71.08270126 42.37000637),02141,HLTHOUT,BPHIGH,CrdPrv,High Blood Pressure
2019,02141,BRFSS,Health Outcomes,High cholesterol among adults aged >=18 years who have been screened in the past 5 years,Crude prevalence,22.3,22.1,22.6,11910,POINT (-71.08270126 42.37000637),02141,HLTHOUT,HIGHCHOL,CrdPrv,High Cholesterol
2018,02141,BRFSS,Health Outcomes,All teeth lost among adults aged >=65 years,Crude prevalence,11.2,8.9,13.9,11910,POINT (-71.08270126 42.37000637),02141,HLTHOUT,TEETHLOST,CrdPrv,All Teeth Lost
2019,02141,BRFSS,Health Outcomes,Stroke among adults aged >=18 years,Crude prevalence,1.9,1.8,2.0,11910,POINT (-71.08270126 42.37000637),02141,HLTHOUT,STROKE,CrdPrv,Stroke
2018,02141,BRFSS,Prevention,Visits to dentist or dental clinic among adults aged >=18 years,Crude prevalence,73.8,72.4,75.3,11910,POINT (-71.08270126 42.37000637),02141,PREVENT,DENTAL,CrdPrv,Dental Visit
2019,02141,BRFSS,Health Status,Mental health not good for >=14 days among adults aged >=18 years,Crude prevalence,12.6,12.1,13.2,11910,POINT (-71.08270126 42.37000637),02141,HLTHSTAT,MHLTH,CrdPrv,Mental Health
2019,02141,BRFSS,Prevention,Cholesterol screening among adults aged >=18 years,Crude prevalence,88.8,88.1,89.5,11910,POINT (-71.08270126 42.37000637),02141,PREVENT,CHOLSCREEN,CrdPrv,Cholesterol Screening
2019,02141,BRFSS,Health Risk Behaviors,Binge drinking among adults aged >=18 years,Crude prevalence,22.4,22.1,22.7,11910,POINT (-71.08270126 42.37000637),02141,RISKBEH,BINGE,CrdPrv,Binge Drinking
2019,02141,BRFSS,Health Outcomes,Obesity among adults aged >=18 years,Crude prevalence,21.5,21.1,21.9,11910,POINT (-71.08270126 42.37000637),02141,HLTHOUT,OBESITY,CrdPrv,Obesity
2018,02141,BRFSS,Prevention,"Older adult women aged >=65 years who are up to date on a core set of clinical preventive services: Flu shot past year, PPV shot ever, Colorectal cancer screening, and Mammogram past 2 years",Crude prevalence,28.0,26.0,30.0,11910,POINT (-71.08270126 42.37000637),02141,PREVENT,COREW,CrdPrv,Core preventive services for older women
2019,02141,BRFSS,Health Status,Fair or poor self-rated health status among adults aged >=18 years,Crude prevalence,10.6,9.9,11.3,11910,POINT (-71.08270126 42.37000637),02141,HLTHSTAT,GHLTH,CrdPrv,General Health
2019,02141,BRFSS,Health Outcomes,Cancer (excluding skin cancer) among adults aged >=18 years,Crude prevalence,5.1,5.0,5.2,11910,POINT (-71.08270126 42.37000637),02141,HLTHOUT,CANCER,CrdPrv,Cancer (except skin)
2019,02141,BRFSS,Health Risk Behaviors,Current smoking among adults aged >=18 years,Crude prevalence,10.9,9.9,11.9,11910,POINT (-71.08270126 42.37000637),02141,RISKBEH,CSMOKING,CrdPrv,Current Smoking
2019,02141,BRFSS,Health Outcomes,Chronic kidney disease among adults aged >=18 years,Crude prevalence,1.9,1.8,1.9,11910,POINT (-71.08270126 42.37000637),02141,HLTHOUT,KIDNEY,CrdPrv,Chronic Kidney Disease
2018,02141,BRFSS,Prevention,"Fecal occult blood test, sigmoidoscopy, or colonoscopy among adults aged 50-75 years",Crude prevalence,71.0,69.7,72.1,11910,POINT (-71.08270126 42.37000637),02141,PREVENT,COLON_SCREEN,CrdPrv,Colorectal Cancer Screening
2019,02140,BRFSS,Health Outcomes,High blood pressure among adults aged >=18 years,Crude prevalence,23.7,23.4,24.1,17607,POINT (-71.1346205 42.39589),02140,HLTHOUT,BPHIGH,CrdPrv,High Blood Pressure
2019,02140,BRFSS,Health Outcomes,Chronic kidney disease among adults aged >=18 years,Crude prevalence,2.1,2.0,2.1,17607,POINT (-71.1346205 42.39589),02140,HLTHOUT,KIDNEY,CrdPrv,Chronic Kidney Disease
2019,02140,BRFSS,Prevention,Taking medicine for high blood pressure control among adults aged >=18 years with high blood pressure,Crude prevalence,69.7,69.3,70.2,17607,POINT (-71.1346205 42.39589),02140,PREVENT,BPMED,CrdPrv,Taking BP Medication
2018,02140,BRFSS,Prevention,"Fecal occult blood test, sigmoidoscopy, or colonoscopy among adults aged 50-75 years",Crude prevalence,72.4,71.1,73.5,17607,POINT (-71.1346205 42.39589),02140,PREVENT,COLON_SCREEN,CrdPrv,Colorectal Cancer Screening
2018,02140,BRFSS,Prevention,Visits to dentist or dental clinic among adults aged >=18 years,Crude prevalence,75.7,74.5,76.9,17607,POINT (-71.1346205 42.39589),02140,PREVENT,DENTAL,CrdPrv,Dental Visit
2019,02140,BRFSS,Health Outcomes,Obesity among adults aged >=18 years,Crude prevalence,22.5,22.1,22.9,17607,POINT (-71.1346205 42.39589),02140,HLTHOUT,OBESITY,CrdPrv,Obesity
2019,02140,BRFSS,Prevention,Cholesterol screening among adults aged >=18 years,Crude prevalence,91.1,90.6,91.6,17607,POINT (-71.1346205 42.39589),02140,PREVENT,CHOLSCREEN,CrdPrv,Cholesterol Screening
2019,02140,BRFSS,Health Outcomes,Chronic obstructive pulmonary disease among adults aged >=18 years,Crude prevalence,3.6,3.3,3.8,17607,POINT (-71.1346205 42.39589),02140,HLTHOUT,COPD,CrdPrv,COPD
2019,02140,BRFSS,Health Risk Behaviors,No leisure-time physical activity among adults aged >=18 years,Crude prevalence,20.4,19.5,21.3,17607,POINT (-71.1346205 42.39589),02140,RISKBEH,LPA,CrdPrv,Physical Inactivity
2019,02140,BRFSS,Health Risk Behaviors,Current smoking among adults aged >=18 years,Crude prevalence,10.5,9.7,11.4,17607,POINT (-71.1346205 42.39589),02140,RISKBEH,CSMOKING,CrdPrv,Current Smoking
2019,02140,BRFSS,Health Risk Behaviors,Binge drinking among adults aged >=18 years,Crude prevalence,20.6,20.4,20.9,17607,POINT (-71.1346205 42.39589),02140,RISKBEH,BINGE,CrdPrv,Binge Drinking
2019,02140,BRFSS,Health Outcomes,Cancer (excluding skin cancer) among adults aged >=18 years,Crude prevalence,5.8,5.7,5.9,17607,POINT (-71.1346205 42.39589),02140,HLTHOUT,CANCER,CrdPrv,Cancer (except skin)
2019,02140,BRFSS,Health Status,Physical health not good for >=14 days among adults aged >=18 years,Crude prevalence,8.0,7.6,8.3,17607,POINT (-71.1346205 42.39589),02140,HLTHSTAT,PHLTH,CrdPrv,Physical Health
2018,02140,BRFSS,Prevention,Cervical cancer screening among adult women aged 21-65 years,Crude prevalence,88.4,87.8,89.1,17607,POINT (-71.1346205 42.39589),02140,PREVENT,CERVICAL,CrdPrv,Cervical Cancer Screening
2019,02140,BRFSS,Prevention,Visits to doctor for routine checkup within the past year among adults aged >=18 years,Crude prevalence,79.6,79.3,79.9,17607,POINT (-71.1346205 42.39589),02140,PREVENT,CHECKUP,CrdPrv,Annual Checkup
2019,02140,BRFSS,Health Outcomes,Arthritis among adults aged >=18 years,Crude prevalence,18.5,18.2,18.8,17607,POINT (-71.1346205 42.39589),02140,HLTHOUT,ARTHRITIS,CrdPrv,Arthritis
2019,02140,BRFSS,Health Outcomes,Stroke among adults aged >=18 years,Crude prevalence,2.1,2.0,2.2,17607,POINT (-71.1346205 42.39589),02140,HLTHOUT,STROKE,CrdPrv,Stroke
