OBJECTID,SITE_NAME,DISTRICT,ACRES,ADDRESS,TypeLong
284,James H. Roberts Playground,Mattapan,46.50379724,,Cemeteries & Burying Grounds
285,Jamaicaway,Dorchester,9.66123628,,"Parkways, Reservations & Beaches"
286,Jamaica Pond Park,Allston-Brighton,6.98172672,,"Parkways, Reservations & Beaches"
287,Jackson Square,West Roxbury,1.03369101,,Urban Wilds
288,India Wharf Harborwalk,West Roxbury,0.51911572,,Urban Wilds
289,Independence Wharf Harborwalk,Jamaica Plain,0.72398241,,"Parks, Playgrounds & Athletic Fields"
290,ICA Pier Walk,East Boston,0.45,2 Condor Street,Urban Wilds
291,Iacono/Readville Playground,Hyde Park,2.71500041,,"Parkways, Reservations & Beaches"
292,Hynes Playground,Hyde Park,0.29626499,216 West Street,Urban Wilds
293,Hunt Playground II,Jamaica Plain,1.16385539,,"Parkways, Reservations & Beaches"
294,Hunt Playground,Roxbury,63.82554862,,"Parks, Playgrounds & Athletic Fields"
295,Howes Playground,South End,0.1534102,"97 West Concord;  Playlot Entrance, 90HF Newland Street","Parks, Playgrounds & Athletic Fields"
296,Horatio Harris Park,West Roxbury,0.03202902,,"Parks, Playgrounds & Athletic Fields"
297,Holborn Street Playlot,Dorchester,0.19241198,,"Parks, Playgrounds & Athletic Fields"
298,Hobart Park,Dorchester,0.35813587,23 Bellevue St,"Parks, Playgrounds & Athletic Fields"
299,Hiscock Park,West Roxbury,0.16386259,,Urban Wilds
300,Highland Park,South End,0.17481047,,"Parks, Playgrounds & Athletic Fields"
301,Henry Square,Allston-Brighton,0.42343944,99 Chestnut Hill Avenue,"Parks, Playgrounds & Athletic Fields"
302,Hemenway Playground,Mattapan,0.23395832,,"Parks, Playgrounds & Athletic Fields"
303,Heath Square,West Roxbury,8.33222815,300 Gardner Str.,Urban Wilds
304,Healy Playground,Central Boston,2.34133036,,"Parks, Playgrounds & Athletic Fields"
305,Hayes Square,East Boston,17.78916058,,"Parks, Playgrounds & Athletic Fields"
306,Hayes Park,Central Boston,2.39521477,Beverley and Causeway Sts,"Parkways, Reservations & Beaches"
307,Hawes Burying Ground,Central Boston,0.17757051,17 South Street,"Malls, Squares & Plazas"
308,Havey Beach,Central Boston,0.84197364,,"Malls, Squares & Plazas"
309,Harriet Tubman Square,Central Boston,0.2538375,,"Malls, Squares & Plazas"
310,Hardiman Playground,Central Boston,0.03843055,"Btwn Endicott, Stillman, & Cross Sts","Malls, Squares & Plazas"
311,Harambee Park,Central Boston,2.64044907,,"Malls, Squares & Plazas"
312,Hannon Playground,Central Boston,0.08032794,,"Malls, Squares & Plazas"
313,Hanlon Square,Central Boston,0.73915412,510 Atlantic Avenue,"Malls, Squares & Plazas"
314,Hancock Woods I,Central Boston,0.06115193,,"Malls, Squares & Plazas"
315,Grove Street Cemetery,Central Boston,2.82787538,,"Malls, Squares & Plazas"
316,Grove Hall Plaza,Central Boston,4.71128786,,"Malls, Squares & Plazas"
317,Granary Burying Ground,Hyde Park,0.88087107,420 West Str.,"Parks, Playgrounds & Athletic Fields"
318,Golden Stairs Terrace Park II,Central Boston,0.01815408,,Community Gardens
319,Golden Stairs Terrace Park I,Jamaica Plain,1.25776152,Opposite 376 Arborway Str.,Open Land
320,Gladeside I,Roxbury,16.44115769,,"Parks, Playgrounds & Athletic Fields"
321,Gibbons Playground,Allston-Brighton,0.96367385,Allston Street,"Parks, Playgrounds & Athletic Fields"
322,Gethsemane Cemetery,West Roxbury,10.60073766,,Urban Wilds
323,Georges Island,Mattapan,3.40667513,"Livermore, Canaan, Itasca & Alabama Sts.",Other Open Land
324,George Wright Golf Course,Back Bay/Beacon Hill,0.18670139,230 Dartmouth Street,"Malls, Squares & Plazas"
325,Geneva Cliffs I,Dorchester,0.31493329,835 Columbia Road,"Malls, Squares & Plazas"
326,General Edward O. Gourdin African-American Veterans Memorial Park,Mattapan,8.85081077,"Canaan, Itasca, Croydon & Kennebec Sts.",Urban Wilds
327,Garvey Playground,West Roxbury,0.52464693,,"Parks, Playgrounds & Athletic Fields"
328,Gallops Island,Dorchester,0.03890156,,"Malls, Squares & Plazas"
329,Gallivan/Hallet Circle,Roxbury,0.12211615,,"Malls, Squares & Plazas"
330,Frieda Garcia Park,Mattapan,0.18639601,,"Parks, Playgrounds & Athletic Fields"
331,Franklin Square,East Boston,0.07587316,,"Malls, Squares & Plazas"
332,Franklin Park Zoo,Hyde Park,0.14070438,Greenwood Avenue & Metropolitan Avenue,"Malls, Squares & Plazas"
333,Franklin Park II,Hyde Park,0.04306554,Highland Street & Milton Street,"Malls, Squares & Plazas"
334,Franklin Park,Charlestown,1.00812584,529-543 Main Street,"Malls, Squares & Plazas"
335,Foster Street Play Area,Roslindale,9.58705106,108 Walter Street,Urban Wilds
336,Fort Point Channel Harborwalk,Hyde Park,0.05439216,Intersection of Central & Webster,"Malls, Squares & Plazas"
337,Forest Hills Cemetery,Roxbury,0.02279554,"Intersection Crawford, Harold, Abbotsford Sts","Malls, Squares & Plazas"
338,Forbes Street Playground,Hyde Park,0.03458118,"Intersection Metropolitan, Beacon, Vose","Malls, Squares & Plazas"
339,Foley Square,East Boston,1.80074841,,"Parks, Playgrounds & Athletic Fields"
340,Florida Street Reservation,East Boston,3.25828701,,"Parks, Playgrounds & Athletic Fields"
341,Flaherty Playground,East Boston,0.00973802,,"Parks, Playgrounds & Athletic Fields"
342,Flaherty Park,Jamaica Plain,24.6767483,360 South Street,Urban Wilds
343,First Church Cemetery,Roslindale,1.15264166,,"Parkways, Reservations & Beaches"
344,Fire Alarm House Grounds,West Roxbury,6.29445592,,Urban Wilds
345,Fidelis Way Park,West Roxbury,2.78226138,1215R Centre Street,Urban Wilds
346,Fernald Rock,South Boston,0.08833499,130 Northern Avenue,"Malls, Squares & Plazas"
347,Fern Square,Fenway/Longwood,70.10028354,"Bounded by Beacon St, Park Drive, The Fenway, Evans Way, Forsyth Way, Westland Ave","Parks, Playgrounds & Athletic Fields"
348,Fenelon Street Playground,Fenway/Longwood,17.1859298,440 Park Drive,"Parks, Playgrounds & Athletic Fields"
349,Federal Reserve Bank Harborwalk,Mission Hill,5.29710791,"W side of Riverway parkway, btwn Netherlands & on ramp  nr Brookline Ice & Coal","Parks, Playgrounds & Athletic Fields"
350,Father Jack Play Area,Mission Hill,1.92234381,"E side of Riverway parkway, Francis St to Huntington Ave (Rt 9)","Parkways, Reservations & Beaches"
351,Faneuil Square,Jamaica Plain,97.73817701,507 Jamaica Way,"Parks, Playgrounds & Athletic Fields"
352,Fan Pier Plaza,Fenway/Longwood,1.48764482,Charlesgate East nr Boylston St;  Charlesgate West btwn Beacon St and Back St,"Parkways, Reservations & Beaches"
353,Fan Pier Harborwalk,Fenway/Longwood,0.60408234,Agassiz Road,"Parkways, Reservations & Beaches"
354,Fallon Field,Dorchester,0.12376056,48 Buttonwood Street,"Parks, Playgrounds & Athletic Fields"
355,Fairview Cemetery,Fenway/Longwood,0.61687744,Vicinity of Park Drive and Back Bay Fens,"Parkways, Reservations & Beaches"
356,Evergreen Cemetery,Fenway/Longwood,1.78015257,Vicinity of Bowker Overpass and The Fenway,"Parkways, Reservations & Beaches"
357,Essex Square,Fenway/Longwood,0.7685747,The Fenway at Brookline Ave & The Fenway at Boylston Street (near Charlesgate),"Parkways, Reservations & Beaches"
358,Ernst Chery Jr. Playground,Fenway/Longwood,5.09545412,Park Drive from Brookline Ave to Boylston Street near Charlesgate,"Parkways, Reservations & Beaches"
359,Erie/Ellington Playground,Fenway/Longwood,1.38266086,Park Drive at Boylston Street & Brookline Ave Intersection,"Parkways, Reservations & Beaches"
360,English H.S. Athletic Fields,Fenway/Longwood,0.84452826,59 The Fenway,"Parks, Playgrounds & Athletic Fields"
361,Endicott Triangle,Fenway/Longwood,2.36332055,"E side of Riverway parkway, Park Dr to Francis St","Parkways, Reservations & Beaches"
362,Emmel Square,Fenway/Longwood,0.44906601,"E side of Riverway parkway, Autumn St to Francis St","Parkways, Reservations & Beaches"
363,Elmhurst Street Park,Back Bay/Beacon Hill,10.87118254,Commonwealth Ave btwn Arlington St & Charlesgate East,"Malls, Squares & Plazas"
364,Elm Hill Park,Roslindale,0.33933367,,"Parkways, Reservations & Beaches"
365,Elliot Norton Park,Jamaica Plain,2.24981233,Centre St fr Murray Circle to Allandale St (NW side) and Bussey St (SE side),"Parkways, Reservations & Beaches"
366,Eliot Burying Ground,West Roxbury,0.31576081,NW side (outbound) of Centre St btwn Allandale St & VFW Parkway,"Parkways, Reservations & Beaches"
367,Edwards Playground,South Boston,3.18537612,,"Malls, Squares & Plazas"
368,Edgerly Road Playground,South Boston,0.18410324,FID Kennedy Avenue,"Malls, Squares & Plazas"
369,East Boston Piers Park,Central Boston,0.05082117,East side of India Row btwn Aquarium IMAX & Harbor Towers,"Malls, Squares & Plazas"
370,East Boston Memorial Park III,Central Boston,0.41591327,65-85 East India Row,"Malls, Squares & Plazas"
371,East Boston Memorial Park II,Central Boston,1.25944293,350 Atlantic Avenue,"Malls, Squares & Plazas"
372,East Boston Memorial Park I,Central Boston,0.04594522,400R Atlantic Avenue,"Malls, Squares & Plazas"
373,East Boston Greenway Extension,Central Boston,0.03425732,408 Atlantic Avenue,"Malls, Squares & Plazas"
374,East Boston Greenway,Central Boston,0.17578463,470 Atlantic Avneue,"Malls, Squares & Plazas"
375,Dunbarton Woods,Central Boston,0.19451575,86-87 Commercial Wharf East,"Malls, Squares & Plazas"
376,Duffie Square,Roxbury,0.71482504,140 Highland Street,"Parks, Playgrounds & Athletic Fields"
377,Dudley Town Common,Brighton,0.50666062,30 Chestnut Hill Ave,"Malls, Squares & Plazas"
378,Draper Playground,South Boston,0.46237615,180 West Fifth Str.,"Parks, Playgrounds & Athletic Fields"
379,Doyle Playground,Dorchester,0.63636129,9 Harborview Str.,"Parks, Playgrounds & Athletic Fields"
380,Downer Avenue Playground,Roxbury,0.6620697,Opposite 52 Lambert Ave.,"Parks, Playgrounds & Athletic Fields"
381,Dorchester South Burying Ground,Dorchester,0.67749653,470 Adams Str.,"Parks, Playgrounds & Athletic Fields"
382,Dorchester Park,Dorchester,0.23297897,,"Parks, Playgrounds & Athletic Fields"
383,Dorchester North Burying Ground,Central Boston,0.05462822,Between Emerson & E. Fourth St.,"Malls, Squares & Plazas"
384,Dorchester Heights NHS,Charlestown,1.10725989,Opposite 204 Bunker Hill Str.,Cemeteries & Burying Grounds
385,Dooley Playground,Roxbury,7.55334443,Opposite 65 Proctor St.,"Parks, Playgrounds & Athletic Fields"
386,Doherty/Gibson Playground,Dorchester,0.2348565,27-35 Elmhurst Street,"Parks, Playgrounds & Athletic Fields"
387,Doherty Playground,West Roxbury,0.73523252,,Urban Wilds
388,Dewey Square Parks,Central Boston,0.04359801,98-104 Atlantic Avenue,"Malls, Squares & Plazas"
389,Denton Square,South End,0.03665251,18 Bradford Str.,"Parks, Playgrounds & Athletic Fields"
390,Dennis Street Park,South Boston,0.21659302,Between Emerson & E. Fourth St.,"Malls, Squares & Plazas"
391,Dell Rock I,Roxbury,1.1541777,80 Humboldt Ave.,"Parks, Playgrounds & Athletic Fields"
392,Delano Park,Central Boston,0.2326726,Between Columbus Ave. & Stuart St.,"Malls, Squares & Plazas"
393,DeForest Urban Wild,West Roxbury,6.41668495,480 VFW Pkwy,"Parks, Playgrounds & Athletic Fields"
394,DeFilippo Playground,Charlestown,0.7343436,,"Parks, Playgrounds & Athletic Fields"
395,Deer Street Park,Roxbury,2.8170789,,"Parks, Playgrounds & Athletic Fields"
396,Dearborn Street Square,Roxbury,0.7936643,20 Eustis Str.,Cemeteries & Burying Grounds
397,Daniel E. O'Connor Park,Hyde Park,1.20888687,Bank of Mother Brook btwn Hyde Park Ave & Fulton St,Urban Wilds
398,Dana Avenue Urban Wild I,Hyde Park,1.09888797,,Urban Wilds
399,Cutillo Park,Hyde Park,59.06,28 Fairview Ave.,Cemeteries & Burying Grounds
400,Cunningham Park,Allston,1.3648205,80 Union Street,"Parks, Playgrounds & Athletic Fields"
401,Cuneo Park,Allston,9.60773626,381 Chestnut Hill Ave.,"Parks, Playgrounds & Athletic Fields"
402,Crawford Street Playground,Brighton,0.57167722,1825 Commonwealth Avenue,"Parks, Playgrounds & Athletic Fields"
403,Copp's Hill Terrace,Brighton,0.15557707,1825 Commonwealth Avenue,"Parks, Playgrounds & Athletic Fields"
404,Copp's Hill Burying Ground,South Boston,0.91315492,"Dorchester Ave, Tudor St, F St,",Cemeteries & Burying Grounds
405,Coppens Square,East Boston,0.9050867,Opposite 22 WM C Kelly Sq.,"Malls, Squares & Plazas"
406,Copley Square Park,Jamaica Plain,0.07356577,Opposite 41 Rossmore Str.,"Parks, Playgrounds & Athletic Fields"
407,Cook Street Play Area,Jamaica Plain,0.19124932,Opposite 2 Brewer Str.,"Parks, Playgrounds & Athletic Fields"
408,Constitution Beach,Fenway/Longwood,6.75107846,The Fenway from Emanuel College to Boston Conservatory of Music (Brookline Ave to Boylston St),"Parkways, Reservations & Beaches"
409,Connell Fields/Hickey Courts,Allston-Brighton,0.06371687,,"Malls, Squares & Plazas"
410,Congregation Mishkan Tefia Cemetery,Dorchester,0.07342236,151 Bowdoin Street,"Parks, Playgrounds & Athletic Fields"
411,Condor Street Overlook,Central Boston,0.57319833,248 Atlantic Avenue,"Malls, Squares & Plazas"
412,Condor Street Beach I,Mission Hill,0.0384283,"IFO 2-6 Francis Street, nr Huntington & Tremeont Streets (Brigham Circle)","Malls, Squares & Plazas"
413,Concord Square,Charlestown,0.02510106,23-25 Essex Street,"Malls, Squares & Plazas"
414,Commonwealth Plaza,Roxbury,0.39857232,30 Mt. Pleasant Ave.,"Parks, Playgrounds & Athletic Fields"
415,Commonwealth Avenue Outbound,Fenway/Longwood,0.30792907,Corner of Pilgrim and Joslin Rd.,"Malls, Squares & Plazas"
416,Commonwealth Avenue Mall II,Allston-Brighton,4.26129194,35 Portsmouth Str.,"Parks, Playgrounds & Athletic Fields"
417,Commonwealth Avenue Mall I,Jamaica Plain,0.09790836,,"Malls, Squares & Plazas"
418,Commercial Wharf Harborwalk,Roslindale,0.01828282,,"Malls, Squares & Plazas"
419,Commercial Point,Dorchester,0.1581,Tremlett Street btwn Waldeck and Hooper Sts (at Waldeck end),"Malls, Squares & Plazas"
420,Columbia Road/Day Boulevard,East Boston,0.0621615,,"Malls, Squares & Plazas"
421,Columbia Road Park,Dorchester,1.11426156,,"Malls, Squares & Plazas"
422,Columbia Park,Dorchester,10.22630854,56 Dunbar Str.,"Parks, Playgrounds & Athletic Fields"
423,Colella Playground,Jamaica Plain,6.25209794,,"Parks, Playgrounds & Athletic Fields"
424,Codman Square,Jamaica Plain,42.82523011,,"Parks, Playgrounds & Athletic Fields"
425,Codman Burying Ground,Back Bay/Beacon Hill,0.26781767,,"Parks, Playgrounds & Athletic Fields"
426,Clifford Playground,Allston-Brighton,0.475156,,"Parks, Playgrounds & Athletic Fields"
427,Clark/Cooper Community Garden,Allston-Brighton,2.2240593,288 - 290 N Harvard Street,"Parks, Playgrounds & Athletic Fields"
428,Clarendon Street Playlot,Hyde Park,70.24374286,,"Parkways, Reservations & Beaches"
429,City Square,Hyde Park,155.98363,420 West Str.,"Parks, Playgrounds & Athletic Fields"
430,City Hall Plaza,Hyde Park,1.0238238,,Urban Wilds
431,Christopher Lee Playground,South Boston,0.29264781,100 Northern Avenue,"Malls, Squares & Plazas"
432,Christopher Columbus Park,South Boston,1.66183038,,"Malls, Squares & Plazas"
433,Chinatown Park,Mission Hill,11.66941737,239 Parker Hill Ave.,"Parks, Playgrounds & Athletic Fields"
434,Children's Wharf Harborwalk,Mission Hill,1.69475448,,Urban Wilds
435,Children's Park,East Boston,3.23416881,33 Summer Str.,"Parks, Playgrounds & Athletic Fields"
436,Childe Hassam Park,Allston-Brighton,1.08096812,,"Parks, Playgrounds & Athletic Fields"
437,Chestnut Street,Roxbury,0.50447733,,"Malls, Squares & Plazas"
438,Chestnut Hill Reservoir Garden,Central Boston,0.94506693,277 Tremont Str.,"Parks, Playgrounds & Athletic Fields"
439,Chestnut Hill Reservoir,Central Boston,0.09401441,,"Malls, Squares & Plazas"
440,Chester Square,Roxbury,0.23574206,127 Howard Ave.,"Parks, Playgrounds & Athletic Fields"
441,Charter Street Park,Dorchester,0.34855408,81-85 Intervale St,"Parks, Playgrounds & Athletic Fields"
442,Charlestown Sprouts Garden,Roxbury,1.56102517,,"Parks, Playgrounds & Athletic Fields"
443,Charlestown Naval Shipyard Park I,Roxbury,0.07436155,,"Malls, Squares & Plazas"
444,Charlestown H.S. Athletic Fields,Dorchester,4.64357435,Opposite 261 Magnolia Str.,"Parks, Playgrounds & Athletic Fields"
445,Charlesgate II,Roxbury,1.96738119,Opposite 624 Dudley Str.,"Parks, Playgrounds & Athletic Fields"
446,Charlesgate I,Central Boston,0.36661681,Causeway St above O'Neill Tunnel Entrance Portal (Zakim Bridge Approach),"Malls, Squares & Plazas"
447,Charles River Reservation,Roslindale,9.60460873,Opposite 155 Florence Str.,"Parks, Playgrounds & Athletic Fields"
448,Chandler Pond,Charlestown,1.23670225,First Avenue & Sixteenth Street,"Parks, Playgrounds & Athletic Fields"
449,Ceylon Park,Harbor Islands,86.00358069,,"Parks, Playgrounds & Athletic Fields"
450,Centre Street IV,Harbor Islands,25.52192665,,"Parks, Playgrounds & Athletic Fields"
451,Centre Street II,Charlestown,0.10135288,Adjacent to 9 Hill Str.,"Parks, Playgrounds & Athletic Fields"
452,Centre Street I,Charlestown,0.29724262,300 First Avenue,"Malls, Squares & Plazas"
453,Central Square,Charlestown,3.58076532,,"Parks, Playgrounds & Athletic Fields"
454,Central Burying Ground,Central Boston,4.86711363,110 Atlantic Ave.,"Parks, Playgrounds & Athletic Fields"
455,Cedar Square,Central Boston,3.90122458,206-214 Atlantic Avenue (Harbor End of Wharf),"Malls, Squares & Plazas"
456,Cedar Grove Cemetery,Charlestown,0.66841561,127 Old Rutherford Ave.,"Parks, Playgrounds & Athletic Fields"
457,Cassidy Playground,Charlestown,9.58138441,,"Parks, Playgrounds & Athletic Fields"
458,Carter Playground,East Boston,25.31309776,,"Parkways, Reservations & Beaches"
459,Carson Beach,East Boston,2.47144426,,"Malls, Squares & Plazas"
460,Carroll Pond Playground,Jamaica Plain,1.44765781,,Urban Wilds
461,Camp Meigs,Jamaica Plain,3.40077045,Opposite 200 Heath Str.,"Parks, Playgrounds & Athletic Fields"
462,Calvary Cemetery,Jamaica Plain,16.77585562,,"Parkways, Reservations & Beaches"
463,Caldwell Street Play Area,Jamaica Plain,0.12224663,,"Parks, Playgrounds & Athletic Fields"
464,Byrne Playground,Central Boston,2.65425058,521 Commercial Str.,"Parks, Playgrounds & Athletic Fields"
465,Bynoe Park,West Roxbury,141.9572374,,"Parkways, Reservations & Beaches"
466,Bussey Brook Meadow II,South Boston,1.3607258,135-141 A Street,"Parks, Playgrounds & Athletic Fields"
467,Bussey Brook Meadow I,South Boston,1.41395605,,"Malls, Squares & Plazas"
468,Bunker Hill Monument,Roxbury,392.1850164,143 Seaver St.,"Parks, Playgrounds & Athletic Fields"
469,Bunker Hill Burying Ground,Fenway/Longwood,6.59092994,"Btwn Storrow Dr, Mass Pike, Charlesgate East & Charlesgate West","Parkways, Reservations & Beaches"
470,Buena Vista,Roslindale,0.7051637,Opposite 4228 Washington,"Parks, Playgrounds & Athletic Fields"
471,Buckley Playground,Jamaica Plain,224.2720383,Opposite 376 Arborway Str.,"Parks, Playgrounds & Athletic Fields"
472,Brophy Park,Mattapan,18.67,,"Parks, Playgrounds & Athletic Fields"
473,Brighton Common,Dorchester,70.00617732,,"Parkways, Reservations & Beaches"
474,Brian Honan Park,Dorchester,12.72565247,,"Parkways, Reservations & Beaches"
475,Brewer-Burroughs Tot Lot,Dorchester,0.33162551,,"Parkways, Reservations & Beaches"
476,Bremen Street Park II,Multi-District,183.5015201,,"Parkways, Reservations & Beaches"
477,Bremen Street Park I,Dorchester,3.58777585,,"Parkways, Reservations & Beaches"
478,Bradford Street Play Area,South Boston,24.64639659,,"Parkways, Reservations & Beaches"
479,Braddock Park,Dorchester,2.38153477,,"Parkways, Reservations & Beaches"
480,BPL Courtyard,Multi-District,171.8964419,,"Parkways, Reservations & Beaches"
481,Boylston Street II,Jamaica Plain,0.09115367,,"Parks, Playgrounds & Athletic Fields"
482,Boylston Street I,South End,0.40978067,,"Parks, Playgrounds & Athletic Fields"
483,Boyden Park,East Boston,2.50423194,14 Jeffries Str.,"Parks, Playgrounds & Athletic Fields"
484,Boundary I,Hyde Park,13.12495412,130 Westminster Str.,"Parks, Playgrounds & Athletic Fields"
485,Boston Nature Center_Visitor Ctr,Roslindale,125.0469482,355 Walk Hill Str.,Cemeteries & Burying Grounds
486,Boston Nature Center,Roslindale,47.23674938,,Cemeteries & Burying Grounds
487,Boston Common,Mattapan,59.44638436,,Cemeteries & Burying Grounds
488,Bonito Square,Dorchester,8.29027982,Opposite 124 Grampian Way,"Parks, Playgrounds & Athletic Fields"
489,Blue Hill Club Recreation Center,Multi-District,48.47698106,,"Parkways, Reservations & Beaches"
490,Blake Estates Urban Wild II,South Boston,1.59444785,"Crowley-Rogers Way, St Casimir St, Flaherty Way","Parks, Playgrounds & Athletic Fields"
491,Blake Estates Urban Wild I,Jamaica Plain,0.7340119,60 Paul Gore Street,"Parks, Playgrounds & Athletic Fields"
492,Blackstone Square,Dorchester,1.29344677,,"Parks, Playgrounds & Athletic Fields"
493,Billings Field,Mattapan,2.33062987,500 Walk Hill Street,"Parks, Playgrounds & Athletic Fields"
494,Bennington Street Cemetery,Mattapan,58.53155346,500 Walk Hill Street,Urban Wilds
495,Bellevue Street Green,Brighton,0.17970203,,"Malls, Squares & Plazas"
496,Bellevue Hill Reservation,East Boston,0.4270713,Between Bennington & Saratoga St.,"Parks, Playgrounds & Athletic Fields"
497,Belle Isle Marsh Reservation,East Boston,0.84353898,,"Parks, Playgrounds & Athletic Fields"
498,Beethoven School Play Area,Allston,4.90352493,Opposite 1505 Commonwealth Ave.,"Parks, Playgrounds & Athletic Fields"
499,Beecher Street Play Area,Dorchester,44.74639215,120 Westview Str.,"Parks, Playgrounds & Athletic Fields"
500,Beauford Play Area,Dorchester,10.50258252,,Cemeteries & Burying Grounds
501,Bay Village Neighborhood Park,West Roxbury,12.44234167,,"Parkways, Reservations & Beaches"
502,Bay Village Garden,West Roxbury,0.64656848,,"Parks, Playgrounds & Athletic Fields"
503,Barry Playground,West Roxbury,0.48428662,,"Parks, Playgrounds & Athletic Fields"
504,Back of the Hill Urban Wild,Dorchester,0.06098479,,"Malls, Squares & Plazas"
505,Back Bay Fens,West Roxbury,25.38168175,,Cemeteries & Burying Grounds
506,Babson Cookson Tract,Central Boston,0.43176542,Adjacent to 58 Tremont Str.,Cemeteries & Burying Grounds
507,Arnold Arboretum,Dorchester,3.04202852,15 Talbot Street,"Parks, Playgrounds & Athletic Fields"
508,Armenian Heritage Park,South Boston,16.85070443,,"Parkways, Reservations & Beaches"
509,Arborway Overpass Path,South Boston,0.33933352,"Columbia Road, Farragut Road, East Sixth Street","Parks, Playgrounds & Athletic Fields"
510,Arborway II,West Roxbury,0.11772279,Bellevue St btwn Robin St and Bellevue Hill Rd,"Malls, Squares & Plazas"
511,Arborway I,Roxbury,0.06010444,Walnut Park,"Malls, Squares & Plazas"
512,Aquarium Harborwalk II,Central Boston,1.36211167,475 Commercial Street,"Parks, Playgrounds & Athletic Fields"
513,Aquarium Harborwalk I,Allston-Brighton,0.02090878,99 Chestnut Hill Avenue,"Parks, Playgrounds & Athletic Fields"
514,Angell Memorial Square,South End,0.36843561,24P Union Park,"Parks, Playgrounds & Athletic Fields"
515,Amory Street Park,Hyde Park,0.35358998,1344 Hyde Park Avenue,Urban Wilds
516,American Legion Playground,Hyde Park,2.55650047,114 Gordon Avenue,"Parkways, Reservations & Beaches"
517,American Legion Highway,Dorchester,2.52599648,995 Morrissey Blvd,"Parks, Playgrounds & Athletic Fields"
518,Amatucci Playground,Roslindale,0.1092459,464 Mt Hope Street,"Parks, Playgrounds & Athletic Fields"
519,Allen Park,Brighton,0.23433381,427 Faneuil Str.,"Malls, Squares & Plazas"
520,Allandale Woods V,Dorchester,0.05217643,Btwn Adams St and Gallivan Blvd,"Malls, Squares & Plazas"
521,Allandale Woods ROW,Roxbury,2.58263465,120 Martin Luther King Jr. Blvd,"Parks, Playgrounds & Athletic Fields"
522,Allandale Woods IV,South End,0.13484183,W Dedham St & Washington St,"Malls, Squares & Plazas"
523,Allandale Woods III,East Boston,1.24227069,,"Parks, Playgrounds & Athletic Fields"
524,Allandale Woods II,East Boston,0.59879283,,"Parks, Playgrounds & Athletic Fields"
525,Allandale Woods I,Roxbury,0.0293237,,"Malls, Squares & Plazas"
526,Allandale Field,Mattapan,2.41135373,,Urban Wilds
527,Algonquin Square,Roxbury,0.18237447,66 Fort Ave,"Parks, Playgrounds & Athletic Fields"
528,Agassiz Road,South End,0.10689584,"7  Milford ST, BOSTON 02118","Parks, Playgrounds & Athletic Fields"
529,Adams/King Playground,Dorchester,0.3404661,695 701A Dudley Street and Nonquit Street,"Parks, Playgrounds & Athletic Fields"
530,Adams Park,South Boston,0.38110158,174 West Second Street,"Parks, Playgrounds & Athletic Fields"
531,A Street Park I,Roslindale,6.92577563,,Urban Wilds
1340,408 Atlantic Avenue Harborwalk,Hyde Park,1.19620239,0-4 Lakeside Avenue,Urban Wilds
2541,400R Atlantic Avenue Harborwalk,Dorchester,0.35071001,,"Malls, Squares & Plazas"
2940,10 Josephine Street Garden,Jamaica Plain,2.44919749,20 Child Str.,"Parks, Playgrounds & Athletic Fields"
